container_id,alert_triggered_time,serviced_time,pick_up_time_hrs,overflow
975a7230-6d27-11e9-af7a-2e1f98a5fcf7,2019-06-21 16:49:23+00:00,2019-06-21 16:56:53+00:00,0.125,True
84c01f50-908e-11e9-bb43-664d26541fc8,2019-06-24 00:27:53+00:00,2019-06-24 10:34:01+00:00,10.102222222222222,True
84c01f50-908e-11e9-bb43-664d26541fc8,2019-06-24 10:34:01+00:00,2019-06-24 10:41:31+00:00,0.125,True
84c01f50-908e-11e9-bb43-664d26541fc8,2019-06-24 10:41:31+00:00,2019-06-24 10:49:01+00:00,0.125,True
84c01f50-908e-11e9-bb43-664d26541fc8,2019-06-24 10:49:01+00:00,2019-06-24 10:56:31+00:00,0.125,True
113b3810-7a65-11e9-824e-3457da1e41eb,2019-06-19 00:22:32+00:00,2019-06-19 00:52:32+00:00,0.5,False
113b3810-7a65-11e9-824e-3457da1e41eb,2019-06-19 00:52:32+00:00,2019-06-19 01:00:02+00:00,0.125,True
113b3810-7a65-11e9-824e-3457da1e41eb,2019-06-19 01:00:02+00:00,2019-06-19 01:07:32+00:00,0.125,True
113b3810-7a65-11e9-824e-3457da1e41eb,2019-06-19 01:07:32+00:00,2019-06-19 01:15:02+00:00,0.125,True
5b24eb10-8c71-11e9-ba27-f89c07abeebc,2019-06-24 00:25:00+00:00,2019-06-24 07:55:01+00:00,7.500277777777778,True
5b24eb10-8c71-11e9-ba27-f89c07abeebc,2019-06-24 07:55:01+00:00,2019-06-24 08:02:31+00:00,0.125,True
5b24eb10-8c71-11e9-ba27-f89c07abeebc,2019-06-24 08:02:31+00:00,2019-06-24 08:10:01+00:00,0.125,True
5b24eb10-8c71-11e9-ba27-f89c07abeebc,2019-06-24 08:10:01+00:00,2019-06-24 08:17:31+00:00,0.125,True
9d3ee3d0-7a69-11e9-9e20-42649f888bc7,2019-06-23 00:36:58+00:00,2019-06-23 01:04:05+00:00,0.4519444444444444,True
9d3ee3d0-7a69-11e9-9e20-42649f888bc7,2019-06-23 01:04:05+00:00,2019-06-23 01:11:35+00:00,0.125,False
9d3ee3d0-7a69-11e9-9e20-42649f888bc7,2019-06-23 01:11:35+00:00,2019-06-23 01:19:05+00:00,0.125,False
9d3ee3d0-7a69-11e9-9e20-42649f888bc7,2019-06-23 01:19:05+00:00,2019-06-23 01:26:35+00:00,0.125,False
9d3ee3d0-7a69-11e9-9e20-42649f888bc7,2019-06-23 16:21:57+00:00,2019-06-23 22:29:27+00:00,6.125,True
9d3ee3d0-7a69-11e9-9e20-42649f888bc7,2019-06-23 22:29:27+00:00,2019-06-23 22:36:57+00:00,0.125,True
67297080-80d1-11e9-97d5-068f7a33d386,2019-06-21 07:21:36+00:00,2019-06-21 09:59:06+00:00,2.625,False
15b68390-7fe2-11e9-b308-c4f3ca48b278,2019-06-24 00:27:08+00:00,2019-06-25 11:38:23+00:00,35.1875,True
15b68390-7fe2-11e9-b308-c4f3ca48b278,2019-06-25 11:38:23+00:00,2019-06-25 11:45:53+00:00,0.125,False
15b68390-7fe2-11e9-b308-c4f3ca48b278,2019-06-25 11:45:53+00:00,2019-06-25 11:53:23+00:00,0.125,False
15b68390-7fe2-11e9-b308-c4f3ca48b278,2019-06-25 11:53:23+00:00,2019-06-25 12:17:03+00:00,0.39444444444444443,False
4fa750f0-9213-11e9-ba6e-e0f5850091b7,2019-06-20 14:53:01+00:00,2019-06-20 16:23:01+00:00,1.5,False
db42d7f0-920a-11e9-b3d5-8484710ba339,2019-06-21 01:20:13+00:00,2019-06-21 01:27:43+00:00,0.125,False
db42d7f0-920a-11e9-b3d5-8484710ba339,2019-06-21 01:27:43+00:00,2019-06-21 01:35:13+00:00,0.125,False
db42d7f0-920a-11e9-b3d5-8484710ba339,2019-06-21 01:35:13+00:00,2019-06-21 01:42:43+00:00,0.125,False
8cd90fa0-7c0f-11e9-8e6e-1965f074ede0,2019-06-25 00:29:18+00:00,2019-06-25 00:36:48+00:00,0.125,False
8cd90fa0-7c0f-11e9-8e6e-1965f074ede0,2019-06-25 00:36:48+00:00,2019-06-25 00:44:18+00:00,0.125,False
8cd90fa0-7c0f-11e9-8e6e-1965f074ede0,2019-06-25 00:44:18+00:00,2019-06-25 00:51:48+00:00,0.125,False
4def48b0-8586-11e9-8a8f-0ca41542484d,2019-06-24 00:42:31+00:00,2019-06-24 19:24:21+00:00,18.697222222222223,False
4def48b0-8586-11e9-8a8f-0ca41542484d,2019-06-26 02:18:55+00:00,2019-06-26 11:02:08+00:00,8.720277777777778,False
